Field,Average temperature [degC],Power density [MWe/km2],Tectonic setting,System type,Enthalpy classification
Ahuachapan,250,14.41251252,Arc,Arc,Two-phase - liquid dominated
Alasehir,185,7.782423013,,Not classified,Hot water - intermediate temperature
Amatitlán,285,7.692307692,,Not classified,Two-phase - liquid dominated
Amedee,107,1.230769231,Fault-based,Deep circulation,Hot water - low temperature
Bac-Man,269,10.20408163,Arc,Arc,Two-phase - liquid dominated
Beowawe,215,7,Fault-based,Deep circulation,Hot water - intermediate temperature
Berlin,255,19.04748793,,Rift - silicic,Two-phase - liquid dominated
Bjarnarflag,300,1.217675569,,Rift - basaltic,Two-phase - liquid dominated
Blue Mountain,185,7.277777778,Fault-based,Deep circulation,Hot water - intermediate temperature
Bouillante,250,9.273780826,Arc,Arc,Two-phase - liquid dominated
Bradys,130,2.75,Fault-based,Deep circulation,Hot water - intermediate temperature
Bulalo,270,19.0843088,,Not classified,Two-phase - liquid dominated
Cachaços-Lombadas ,228,8.666666667,,Not classified,Two-phase - liquid dominated
Cerro Prieto,300,26.77777778,Rift,Rift - silicic,Two-phase - liquid dominated
Chena Hot Springs,75,0.569620253,Fault-based,Deep circulation,Hot water - low temperature
Coso,275,8.982035928,Other,Silicic intrusion,Two-phase - liquid dominated
Darajat,245,19.60794604,Arc,Arc,Vapor dominated
Desert Peak,170,4.4,Fault-based,Deep circulation,Hot water - intermediate temperature
Dieng,290,9.035761198,Arc,Arc,Two-phase - liquid dominated
Dixie Valley,230,17.51612903,Fault-based,Deep circulation,Two-phase - liquid dominated
Domo San Pedro,300,10.06539702,Arc,Arc,Two-phase - liquid dominated
Don A. Campbell,129,29.84615385,Fault-based,Deep circulation,Hot water - intermediate temperature
East Mesa,145,2.827225131,Rift,Deep circulation,Hot water - intermediate temperature
Fang,130,0.251930827,Fault-based,Deep circulation,Hot water - intermediate temperature
Germencik,234,18.29151776,Fault-based,Deep circulation,Two-phase - liquid dominated
Geysers,240,11.64383562,Other,Silicic intrusion,Vapor dominated
Gunung Patuha,225,9.577522076,Arc,Arc,Two-phase - liquid dominated
Hachijo-jima,300,2.5,Arc,Arc,Two-phase - liquid dominated
Hatchobaru,270,41.66666667,Arc,Arc,Two-phase - liquid dominated
Heber,170,11.44578313,Rift,Deep circulation,Hot water - intermediate temperature
Hellisheidi,290,19.25428133,Rift,Rift - basaltic,Two-phase - liquid dominated
Husavik,125,1.483006201,,Rift - basaltic,Hot water - intermediate temperature
Kakkonda,285,11.42857143,Arc,Arc,Two-phase - liquid dominated
Kamojang,245,21.13385725,Arc,Arc,Vapor dominated
Karaha,290,5.763955618,Arc,Arc,Two-phase - liquid dominated
Kawerau,275,19.28505741,Rift,Rift - silicic,Two-phase - liquid dominated
Kirchstockach,138,2.894736842,Other,Not classified,Hot water - intermediate temperature
Kizildere,230,11.37371612,Other,Not classified,Two-phase - liquid dominated
Krafla,270,10.88409581,Rift,Rift - basaltic,Two-phase - liquid dominated
Lahendong,280,18.41827985,Arc,Arc,Two-phase - liquid dominated
Larderello,235,4.130434783,Other,Silicic intrusion,Vapor dominated
Las Pailas,245,9.512959773,Arc,Arc,Two-phase - liquid dominated
Las Tres Virgenes,250,7.42920358,Arc,Arc,Two-phase - liquid dominated
Lihir,220,15.83858962,Arc,Arc,Two-phase - liquid dominated
Los Azufres,275,16.84210526,Arc,Arc,Two-phase - liquid dominated
Los Humeros,340,7.607276871,Arc,Arc,Two-phase - liquid dominated
Mahanagdong,270,8.571428571,Arc,Arc,Two-phase - liquid dominated
Maibarara,300,10.29526556,Arc,Arc,Two-phase - liquid dominated
Mammoth,170,11.6,Other,Deep circulation - magmatic,Hot water - intermediate temperature
Mataloko,240,2.325581395,Arc,Arc,Two-phase - liquid dominated
Matsukawa,250,6.443433216,Arc,Arc,Two-phase - liquid dominated
Miravalles,236,17.33333333,Arc,Arc,Two-phase - liquid dominated
Mokai,295,30.43564121,Rift,Rift - silicic,Two-phase - liquid dominated
Momotombo,220,9.553153561,Arc,Arc,Two-phase - liquid dominated
Mori,245,8.041958615,Arc,Arc,Two-phase - liquid dominated
Mt. Apo ,280,8.741258741,Arc,Arc,Two-phase - liquid dominated
Mutnovsky,260,12.78094619,Arc,Arc,Two-phase - liquid dominated
Neal Hot Springs,140,8.8,Fault-based,Deep circulation,Hot water - intermediate temperature
Nesjavellir,290,13.85597154,Rift,Rift - basaltic,Two-phase - liquid dominated
Ngatamariki,280,24.68434389,Rift,Rift - silicic,Two-phase - liquid dominated
Ngawha,230,11.1118606,Other,Not classified,Two-phase - liquid dominated
Ogiri,230,15.27241489,Arc,Arc,Two-phase - liquid dominated
Oguni,225,0.875675964,Arc,Arc,Two-phase - liquid dominated
Ohaaki,275,6.818181818,Rift,Rift - silicic,Two-phase - liquid dominated
Olkaria,240,21.66666667,Rift,Rift - silicic,Two-phase - liquid dominated
Onikobe,235,3.145553788,Arc,Arc,Two-phase - liquid dominated
Onuma,225,3.63236597,Arc,Arc,Two-phase - liquid dominated
Otake,210,10.6025744,Arc,Arc,Hot water - intermediate temperature
Paisley,115,1.714285714,Fault-based,Deep circulation,Hot water - low temperature
Palinpinon,300,12.5,Arc,Arc,Two-phase - liquid dominated
Pamukoren,188,9.230769231,Fault-based,Deep circulation,Hot water - intermediate temperature
Pauzetksky,190,7.317042075,Arc,Arc,Hot water - intermediate temperature
Piancastagnaio,328,7.446808511,Arc,Arc,Two-phase - liquid dominated
Pico Alto,280,2.858325792,Rift,Not classified,Two-phase - liquid dominated
Pico Vermelho,235,4.423076923,,Not classified,Two-phase - liquid dominated
Platanares,180,15.2,Arc,Arc,Hot water - intermediate temperature
Puna,340,25.33333333,Rift,Rift - basaltic,Two-phase - liquid dominated
Raft River,135,3.896586694,Fault-based,Deep circulation,Hot water - intermediate temperature
Reykjanes,300,24.57478132,Rift,Rift - basaltic,Two-phase - liquid dominated
Roosevelt,245,13.2,Fault-based,Deep circulation,Two-phase - liquid dominated
Rotokawa,320,30.75293998,Rift,Rift - silicic,Two-phase - liquid dominated
Salak,260,18.28150556,Arc,Arc,Two-phase - liquid dominated
Salavatli,171,6.779661017,Fault-based,Not classified,Hot water - intermediate temperature
Salton Sea,300,28.125,Rift,Not classified,Two-phase - liquid dominated
San Emidio,135,5.846153846,Fault-based,Deep circulation,Hot water - intermediate temperature
